Fecha;Dia;Mes;anio;Temperatura_Abrigo_150cm_Media;Temperatura_Abrigo_150cm_Maxima;Temperatura_Abrigo_150cm_Minima;Precipitacion_Pluviometrica;Granizo;Nieve;Helada;Clasificacion Heladas;Heliofania_Efectiva;Heliofania_Relativa;Tesion_Vapor_Media;Humedad_Media;Rocio_Medio;Velocidad_Viento_200cm_Media;Direccion_Viento_200cm;Velocidad_Viento_1000cm_Media;Radiacion_Global;Evapotranspiracion_Potencial;Horas_Frio
1/1/1970;1;1;1970;26,05;34,2;17,9;11,5;0;0;0;0;10,3;69;23,4;64;19,8;4;;5;25.3;5.7;0,00
2/1/1970;2;1;1970;24,75;31,3;18,2;0;0;0;0;0;8,5;57;21,1;70;18;11,2;;14;22.3;5.8;0,00
3/1/1970;3;1;1970;16,40;20,9;11,9;8,5;0;0;0;0;0;0;15,2;90;13,2;4;;5;8.1;2.0;0,00
4/1/1970;4;1;1970;13,65;15,2;12,1;22,5;0;0;0;0;0;0;14,6;90;12,7;10,4;;13;8.1;1.7;0,00
5/1/1970;5;1;1970;19,25;26,1;12,4;27,2;0;0;0;0;10,5;70;15,2;68;13;10,4;;13;25.4;5.3;0,00
6/1/1970;6;1;1970;18,75;27,4;10,1;0;0;0;0;0;12,2;82;15;55;12,9;10,4;;13;28.3;5.6;0,00
7/1/1970;7;1;1970;18,70;25;12,4;2,2;0;0;0;0;12,4;84;11;48;8,3;4;;5;28.8;5.3;0,00
8/1/1970;8;1;1970;17,25;25,6;8,9;0;0;0;0;0;12,2;81;11,5;48;9,1;4;;5;28.0;4.9;0,00
9/1/1970;9;1;1970;19,20;27;11,4;0;0;0;0;0;10,4;70;13,8;56;11,7;4;;5;25.2;4.8;0,00
10/1/1970;10;1;1970;23,40;31,8;15;0;0;0;0;0;10,7;72;16,2;49;14,1;4;;5;25.7;5.5;0,00
11/1/1970;11;1;1970;25,55;35;16,1;0;0;0;0;0;12,9;87;22,6;62;19,4;10,4;;13;29.3;6.9;0,00
12/1/1970;12;1;1970;21,55;30,9;12,2;0;0;0;0;0;12,3;83;13,6;46;11,2;10,4;;13;28.2;6.4;0,00
13/1/1970;13;1;1970;19,40;27;11,8;0;0;0;0;0;12,1;82;14,2;57;12;19,2;;24;27.9;6.7;0,00
14/1/1970;14;1;1970;20,95;30,6;11,3;0;0;0;0;0;11,5;78;13,4;50;12,3;10,4;;13;26.9;6.1;0,00
15/1/1970;15;1;1970;21,90;31,7;12,1;0;0;0;0;0;5,7;39;16,1;55;14;4;;5;17.4;4.1;0,00
16/1/1970;16;1;1970;20,95;30,9;11;0;0;0;0;0;12,1;82;17,2;54;15,1;4;;5;27.7;5.2;0,00
17/1/1970;17;1;1970;21,40;30,9;11,9;0;0;0;0;0;9,2;62;17,3;56;15,3;4;;5;22.8;4.6;0,00
18/1/1970;18;1;1970;20,65;32,2;9,1;0;0;0;0;0;12,1;83;17,9;52;15,4;19,2;;24;27.8;6.3;0,00
19/1/1970;19;1;1970;22,50;33,1;11,9;0;0;0;0;0;11,8;81;16,6;48;14,1;4;;5;27.3;5.5;0,00
20/1/1970;20;1;1970;24,50;34,1;14,9;0;0;0;0;0;9,2;63;21,5;53;18,6;19,2;;24;22.9;6.4;0,00
