Fecha;Temperatura_Abrigo_150cm;Temperatura_Abrigo_150cm_Maxima;Temperatura_Abrigo_150cm_Minima;Temperatura_Suelo_10cm_Media;Precipitacion_Pluviometrica;Precipitacion_Cronologica;Precipitacion_Maxima_30minutos;Tesion_Vapor_Media;Humedad_Media;Humedad_Media_8_14_20;Rocio_Medio;Duracion_Follaje_Mojado;Velocidad_Viento_200cm_Media;Direccion_Viento_200cm;Velocidad_Viento_1000cm_Media;Direccion_Viento_1000cm;Velocidad_Viento_Maxima;Horas_Frio;Unidades_Frio
2011-05-27;;;;;;;;;;;;;;  ;;  ;;;
2011-05-28;10.30556;20.8;2.5;9.416666;0.0;0.0;0.0;8.771664;76;71;4.962819;;;C ;;C ;;9.627999;10.126
2011-05-29;5.400694;15.5;-1.9;8.966672;0.0;0.0;0.0;7.753556;83;79;2.947556;;;C ;;C ;;12.61601;5.976003
2011-05-30;9.952779;15.7;2.7;9.829166;0.0;0.0;0.0;10.39027;86;87;7.461951;;;C ;;C ;;3.651999;12.94801
2011-05-31;7.500696;19.8;0.1;9.429163;0.0;0.0;0.0;8.428121;88;86;4.34803;;;C ;;C ;;16.43401;12.03501
2011-06-01;4.918057;20.3;-4.2;8.566669;0.0;0.0;0.0;6.939859;79;71;1.384148;;;C ;;C ;;12.94801;0.747
2011-06-02;8.063193;15.8;-0.1;8.527085;0.0;0.0;0.0;7.796256;79;75;3.348899;;;C ;;C ;;13.94401;14.94001
2011-06-03;4.592361;16.9;-4.3;8.077778;0.0;0.0;0.0;6.541016;80;71;0.7116529;;;C ;;C ;;14.94001;5.975997
2011-06-04;5.408334;12.9;-1.9;7.702087;0.0;0.0;0.0;6.650025;80;70;1.146602;;;C ;;C ;;15.27201;9.130007
2011-06-05;5.977083;14.5;0.0;7.820139;0.0;0.0;0.0;7.895935;85;78;3.468803;;;C ;;C ;;15.93601;15.02301
2011-06-06;3.175;13.3;-3.4;7.382639;0.0;0.0;0.0;6.711849;85;82;1.043393;;;C ;;C ;;13.94401;6.888997
2011-06-07;10.91667;21.0;4.6;8.32083;0.0;0.0;0.0;7.840341;60;48;3.457893;;;C ;;C ;;4.813998;6.059003
2011-06-08;10.84236;15.7;2.6;8.542362;0.0;0.0;0.0;7.148497;57;54;2.148739;;;C ;;C ;;1.992;11.288
2011-06-09;11.43612;13.9;5.0;8.865973;0.9;0.9;0.3;8.799572;69;74;4.885125;;;C ;;C ;;0.83;11.20501
2011-06-10;9.112499;21.6;2.2;8.978476;0.3;0.0;0.0;9.486496;80;82;6.089572;;;C ;;C ;;9.96;7.801995
2011-06-11;13.29166;17.2;9.1;9.665977;0.0;0.3;0.3;6.561.574;51;46;0.6124033;;;C ;;C ;;3.651999;5.892998
2011-06-12;7.747916;13.7;-1.8;8.582632;0.0;0.0;0.0;5.522941;51;41;-1.487518;;;C ;;C ;;4.813998;8.051005
2011-06-13;7.239583;13.4;-2.0;8.622916;0.0;0.0;0.0;5.240423;58;56;-2.206959;;;C ;;C ;;12.78201;13.94401
2011-06-14;3.754168;11.4;-2.7;7.811106;0.0;0.0;0.0;5.201577;68;69;-2.223109;;;C ;;C ;;17.09801;
2011-06-15;4.914583;17.3;-4.4;7.460414;0.0;0.0;0.0;5.726833;68;63;-0.99253;;;C ;;C ;;13.94401;5.726997
2011-06-16;6.419445;13.2;0.5;7.609025;0.0;0.0;0.0;6.638594;76;68;1.117922;;;C ;;C ;;16.43401;16.26801
2011-06-17;3.520139;17.7;-4.4;6.956942;0.0;0.0;0.0;5.599239;73;67;-1.335237;;;C ;;C ;;13.61201;2.573
2011-06-18;9.545136;14.5;5.1;7.518056;0.0;0.0;0.0;7.633207;67;67;2.86567;;;C ;;C ;;4.813998;19.00702
2011-06-19;4.749305;15.7;-3.8;7.214582;0.0;0.0;0.0;6.610298;84;76;0.9255202;;;C ;;C ;;17.09801;6.805999
2011-06-20;3.095139;16.8;-5.4;6.484721;0.0;0.0;0.0;5.893326;81;71;-0.7036754;;;C ;;C ;;16.60001;4.066998
2011-06-21;3.926389;16.6;-3.2;6.101391;0.0;0.0;0.0;6.529019;83;75;0.7482436;;;C ;;C ;;16.43401;3.983999
2011-06-22;3.351389;15.4;-4.4;5.885416;0.0;0.0;0.0;6.640152;84;77;0.8092985;;;C ;;C ;;14.94001;5.892997
2011-06-23;7.447222;18.0;-2.1;6.276394;0.0;0.0;0.0;6.316386;67;62;0.3718683;;;C ;;C ;;13.11401;9.213
2011-06-24;7.677081;13.0;-0.3;6.79722;0.0;0.0;0.0;5.316372;56;51;-2.063988;;;C ;;C ;;11.122;15.77001
2011-06-25;-0.8305553;9.7;-10.6;5.349998;0.0;0.0;0.0;3.697314;70;64;-6.884664;;;C ;;C ;;19.25602;
2011-06-26;0.02152794;13.0;-8.2;4.344442;0.0;0.0;0.0;4.190287;71;61;-5.169159;;;C ;;C ;;16.60001;6.722998
