id_Estacion;id_Dato (FK);Fecha;Dia;Mes;Anio;Temperatura Media [C];Temperatura Maxima [C];Temperatura Minima [C];Temperatura Media [F];Temperatura Maxima [F];Temperatura Minima [F];Lluvia [mm];Velocidad Media [km/h];Velocidad Maxima [km/h];Direccion Dominante;HR% Media;HR% Maxima;HR% Minima;Indice de Calor Media [C];Indice de Calor Maxima [C];Indice de Calor Minima [C];Indice de Calor Media [F];Indice de Calor Maxima [F];Indice de Calor Minima [F];Radiacion Global [w/m2];Radiacion Global Max [w/m2];UV Indice;UV Dosis;UV Indice Maximo;Evatranspiracion ET [mm] ;Punto de Rocio [Td] Media;Punto de Rocio [Td] Maxima;Punto de Rocio [Td] Minima
EEA01;1;1/8/2011;1;8;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;2;2/8/2011;2;8;2011;11,1;14,1;6,1;51,98;57,38;42,98;0;4,3;40,2;SSW;55;61;35;35,33;29,58;39,26;95,59;85,25;102,66;452;455;;;;;2,1;6,3;-6,9
EEA01;3;3/8/2011;3;8;2011;6,9;12,7;1,1;44,42;54,86;33,98;0;3,5;24,1;SW;56;80;34;45,8;27,01;49,04;114,44;80,62;120,27;535;554;;;;;-1,9;8,7;-12,1
EEA01;4;4/8/2011;4;8;2011;2,4;9,8;-2;36,32;49,64;28,4;0;2,6;22,5;N;62;77;42;62,53;34,72;67,25;144,55;94,5;153,05;424;573;;;;;-5,2;5,2;-13,6
EEA01;5;5/8/2011;5;8;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;6;6/8/2011;6;8;2011;8,6;16,5;4,4;47,48;61,7;39,92;0;1,3;11,3;SSW;66;87;42;40,84;19,44;47,62;105,52;67;117,71;200;234;;;;;1,8;13,9;-7,2
EEA01;7;7/8/2011;7;8;2011;4,6;7,9;-0,3;40,28;46,22;31,46;0,2;2,6;22,5;SE;81;92;57;50,77;32,42;72,47;123,39;90,36;162,44;475;555;;;;;0,8;6,3;-8,9
EEA01;8;8/8/2011;8;8;2011;9,2;13,6;6,1;48,56;56,48;42,98;0,2;1,4;14,5;SSE;85;96;67;32,79;17,31;48,6;91,01;63,15;119,48;423;499;;;;;6,2;12,8;-0,5
EEA01;9;9/8/2011;9;8;2011;12,6;17,3;10,3;54,68;63,14;50,54;0;5;30,6;NNE;77;86;61;28,35;19,48;36,94;83,03;67,06;98,49;483;508;;;;;8;14,5;2,5
EEA01;10;10/8/2011;10;8;2011;10,5;19,4;0,2;50,9;66,92;32,36;0,2;3,2;29;NW;66;98;36;35,87;15,28;53,58;96,57;59,5;128,44;513;582;;;;;3,7;19;-12,6
